sample_id,rater_id,fluency,imagery,relevance,structure,reason
S038,rater_02,2,2,3,2,重复错字较多且标点破碎
S015,rater_02,3,3,4,4,藏头完整但意脉略显跳跃
S002,rater_02,3,3,3,3,有古意但数字意象突兀
S040,rater_02,4,4,4,4,景物协调且藏头完整
S076,rater_02,3,3,2,2,仅完成前两字藏头
S047,rater_02,2,2,3,2,叠字过密削弱语意
S080,rater_02,2,2,2,2,只成两句且语义费解
S019,rater_02,3,3,3,3,愁景尚连贯但搭配生硬
S020,rater_02,3,4,4,4,江雨落花意象较协调
S037,rater_02,2,3,3,2,意象尚可但缺少开字句
S006,rater_02,3,3,3,3,水鸟庭院成景但措辞生硬
S004,rater_02,3,3,3,3,竹柳相接尚可但后句牵强
S066,rater_02,2,2,2,3,词组拼接感强且意境散乱
S060,rater_02,2,2,2,2,句意断裂且意象关系不明
S024,rater_02,3,3,4,4,藏头齐全但重复与套语明显
S011,rater_02,3,3,3,4,篇章完整但愁思转折杂乱
S045,rater_02,3,3,3,4,宫苑意象较多但关联偏弱
S022,rater_02,3,3,4,4,藏头完整但重复词影响美感
S039,rater_02,3,3,3,4,春夜意象丰富但语意稍乱
S036,rater_02,3,3,3,3,醉眼卷帘有画面但逻辑松散
S027,rater_02,3,3,3,4,水岸花叶成景但叠词较多
S010,rater_02,2,2,4,4,藏头完整但怪词重复明显
S059,rater_02,3,4,3,4,月夜庭园有意境但语句跳跃
S035,rater_02,1,1,2,2,标点破碎且句意难通
S069,rater_02,3,3,2,2,诗意尚存但藏头仅完成一半
S063,rater_02,3,3,3,3,莺花酒意尚可但末句费解
S070,rater_02,3,3,3,3,客愁意脉尚连贯但有重复
S074,rater_02,3,3,3,3,边塞意象可辨但组合生硬
S033,rater_02,2,2,4,4,藏头齐全但多处语义不通
S072,rater_02,3,3,3,4,春愁氛围尚成但措辞含混
S071,rater_02,3,3,3,4,黄叶燕蝉有景但季候杂糅
S023,rater_02,3,3,3,3,舞歌有生气但开篇衔接弱
S075,rater_02,2,2,4,3,藏头可辨但断句与重复严重
S013,rater_02,2,2,4,4,形式完整但语词多不成意
S014,rater_02,2,3,4,4,藏头完整但句间关联松散
S056,rater_02,3,3,3,3,青雨楼前尚有景但数字突兀
S001,rater_02,2,2,2,2,仅两组藏头且标点破碎
S081,rater_02,2,2,2,2,重复否定使句意难解
S065,rater_02,3,3,4,4,藏头完整但个别搭配牵强
S044,rater_02,3,3,3,2,山云故国成景但结尾残缺
S007,rater_02,3,3,3,3,雪舟飞笛有画面但后意不明
S041,rater_02,2,2,2,2,断句异常且整体语意破碎
S012,rater_02,2,3,3,4,边塞素材较多但组合杂乱
S079,rater_02,2,3,2,2,秋夜有氛围但藏头未完成
S018,rater_02,2,2,4,4,藏头完整但病句与重复较多
S032,rater_02,3,4,4,4,古苑柳霞成景但重复稍多
S062,rater_02,3,3,2,2,春风暮日尚美但只成两句
S029,rater_02,3,4,3,4,笳声岸翠有边塞画面
S017,rater_02,2,2,2,2,仅完成人工且语意生硬
S049,rater_02,3,3,3,4,花月意象繁多但堆砌明显
S016,rater_02,4,4,4,4,荒草落日钓舟意境协调
S034,rater_02,4,4,4,5,故国洞庭意脉完整而深沉
S003,rater_02,3,4,4,4,楚乡风竹有清润古意
S043,rater_02,4,4,5,4,藏头工整且离愁氛围统一
S073,rater_02,3,4,4,4,花树鸳鹭鲜明但叠词过密
S054,rater_02,4,4,5,4,陇云流月营造悠远乡愁
S046,rater_02,3,4,5,4,春寒老鸦意象协调而清冷
S048,rater_02,2,3,2,4,意象华丽但堆叠失去主线
S030,rater_02,4,4,5,4,西园月夕离情较为连贯
S028,rater_02,3,3,4,4,藏头完整但部分语句费解
S009,rater_02,3,3,3,3,竹梅愁梦有景但用词生硬
S067,rater_02,3,3,4,4,幽居山根意境尚稳
S021,rater_02,3,4,3,4,沙岸僧舍鹤楼颇有画面
S052,rater_02,2,2,2,3,金盈客神等搭配难解
S025,rater_02,3,4,3,4,露声香簟营造幽夜意境
S064,rater_02,3,3,3,4,春雨相思尚连贯但措辞含混
S031,rater_02,4,4,4,4,落日荒草层次清楚古意足
S077,rater_02,2,2,3,4,格式完整但重复与怪语较多
S042,rater_02,3,3,4,4,藏头齐全但景物转接略硬
S068,rater_02,4,4,4,4,雁影松云构成清雅春景
S005,rater_02,2,2,2,3,重复与病句破坏春景连贯
S058,rater_02,4,4,4,4,雪雨湘水丹桂意境丰富
S057,rater_02,3,3,4,4,山行雨雪有意但语脉稍散
S055,rater_02,2,2,2,3,香枝宫静尚可但后句不通
S008,rater_02,4,4,5,4,古寺烟云楚水意境统一
S051,rater_02,3,3,4,4,春花云水明丽但重复单调
S078,rater_02,3,3,4,4,藏头完整但句意略显拼接
S026,rater_02,4,4,5,4,山香江波落日画面开阔
S053,rater_02,4,4,4,4,残草乡人送春情绪统一
S061,rater_02,3,2,3,3,结构尚整但意象与语义偏弱
S050,rater_02,4,4,4,4,荒旅枯柳烟花意境完整
